,table,field_name,help_text
0,dockets,source,contains the source of the Docket.
1,dockets,appeal_from_str,"In appellate cases, this is the lower court or administrative body where this case was originally heard. This field is frequently blank due to it not being populated historically. This field may have values when the appeal_from field does not. That can happen if we are unable to normalize the value in this field."
2,dockets,assigned_to_str,"The judge that the case was assigned to, as a string."
3,dockets,referred_to_str,"The judge that the case was referred to, as a string."
4,dockets,panel_str,"The initials of the judges on the panel that heard this case. This field is similar to the 'judges' field on the cluster, but contains initials instead of full judge names, and applies to the case on the whole instead of only to a specific decision."
5,dockets,date_created,The time when this item was created
6,dockets,date_modified,The last moment when the item was modified. A value in year 1750 indicates the value is unknown
7,dockets,date_last_index,The last moment that the item was indexed in Solr.
8,dockets,date_cert_granted,"date cert was granted for this case, if applicable"
9,dockets,date_cert_denied,"the date cert was denied for this case, if applicable"
10,dockets,date_argued,the date the case was argued
11,dockets,date_reargued,the date the case was reargued
12,dockets,date_reargument_denied,the date the reargument was denied
13,dockets,date_filed,The date the case was filed.
14,dockets,date_terminated,The date the case was terminated.
15,dockets,date_last_filing,"The date the case was last updated in the docket, as shown in PACER's Docket History report."
16,dockets,case_name_short,"The abridged name of the case, often a single word, e.g. 'Marsh'"
17,dockets,case_name,The standard name of the case
18,dockets,case_name_full,The full name of the case
19,dockets,slug,URL that the document should map to (the slug)
20,dockets,docket_number,"The docket numbers of a case, can be consolidated and quite long"
21,dockets,docket_number_core,"For federal district court dockets, this is the most distilled docket number available. In this field, the docket number is stripped down to only the year and serial digits, eliminating the office at the beginning, letters in the middle, and the judge at the end. Thus, a docket number like 2:07-cv-34911-MJL becomes simply 0734911. This is the format that is provided by the IDB and is useful for de-duplication types of activities which otherwise get messy. We use a char field here to preserve leading zeros."
22,dockets,pacer_case_id,The cased ID provided by PACER.
23,dockets,cause,The cause for the case.
24,dockets,nature_of_suit,The nature of suit code from PACER.
25,dockets,jury_demand,The compensation demand.
26,dockets,jurisdiction_type,"Stands for jurisdiction in RECAP XML docket. For example, 'Diversity', 'U.S. Government Defendant'."
27,dockets,appellate_fee_status,The status of the fee in the appellate court. Can be used as a hint as to whether the government is the appellant (in which case the fee is waived).
28,dockets,appellate_case_type_information,"Information about a case from the appellate docket in PACER. For example, 'civil, private, bankruptcy'."
29,dockets,mdl_status,The MDL status of a case before the Judicial Panel for Multidistrict Litigation
30,dockets,filepath_local,Path to RECAP's Docket XML page.
31,dockets,filepath_ia,Path to the Docket XML page in The Internet Archive
32,dockets,filepath_ia_json,Path to the docket JSON page in the Internet Archive
33,dockets,ia_upload_failure_count,Number of times the upload to the Internet Archive failed.
34,dockets,ia_needs_upload,"Does this item need to be uploaded to the Internet Archive? I.e., has it changed? This field is important because it keeps track of the status of all the related objects to the docket. For example, if a related docket entry changes, we need to upload the item to IA, but we can't easily check that."
35,dockets,ia_date_first_change,The moment when this item first changed and was marked as needing an upload. Used for determining when to upload an item.
36,dockets,date_blocked,The date that this opinion was blocked from indexing by search engines
37,dockets,blocked,Whether a document should be blocked from indexing by search engines
38,dockets,appeal_from,"In appellate cases, this is the lower court or administrative body where this case was originally heard. This field is frequently blank due to it not being populated historically or due to our inability to normalize the value in appeal_from_str."
39,dockets,tags,The tags associated with the docket.
40,dockets,panel,The empaneled judges for the case. Currently an unused field but planned to be used in conjunction with the panel_str field.
0,originating-court-information,date_created,The time when this item was created
1,originating-court-information,date_modified,The last moment when the item was modified.
2,originating-court-information,docket_number,The docket number in the lower court.
3,originating-court-information,assigned_to_str,"The judge that the case was assigned to, as a string."
4,originating-court-information,ordering_judge_str,"The judge that issued the final order in the case, as a string."
5,originating-court-information,court_reporter,The court reporter responsible for the case.
6,originating-court-information,date_disposed,The date the case was disposed at the lower court.
7,originating-court-information,date_filed,The date the case was filed in the lower court.
8,originating-court-information,date_judgment,The date of the order or judgment in the lower court.
9,originating-court-information,date_judgment_eod,The date the judgment was Entered On the Docket at the lower court.
10,originating-court-information,date_filed_noa,The date the notice of appeal was filed for the case.
11,originating-court-information,date_received_coa,The date the case was received at the court of appeals.
12,originating-court-information,assigned_to,The judge the case was assigned to.
13,originating-court-information,ordering_judge,The judge that issued the final order in the case.
0,docket-entries,date_created,The time when this item was created.
1,docket-entries,date_modified,The last moment when the item was modified.
2,docket-entries,date_filed,The created date of the Docket Entry.
3,docket-entries,entry_number,"# on the PACER docket page. For appellate cases, this may be the internal PACER ID for the document, when an entry ID is otherwise unavailable."
4,docket-entries,recap_sequence_number,"A field used for ordering the docket entries on a docket. You might wonder, ""Why not use the docket entry numbers?"" That's a reasonable question, and prior to late 2018, this was the method we used. However, dockets often have ""unnumbered"" docket entries, and so knowing where to put those was only possible if you had another sequencing field, since they lacked an entry number. This field is populated by a combination of the date for the entry and a sequence number indicating the order that the unnumbered entries occur."
5,docket-entries,pacer_sequence_number,"The de_seqno value pulled out of dockets, RSS feeds, and sundry other pages in PACER. The place to find this is currently in the onclick attribute of the links in PACER. Because we do not have this value for all items in the DB, we do not use this value for anything. Still, we collect it for good measure."
6,docket-entries,description,The text content of the docket entry that appears in the PACER docket page.
7,docket-entries,tags,The tags associated with the docket entry.
0,recap-documents,date_created,The date the file was imported to Local Storage.
1,recap-documents,date_modified,Timestamp of last update.
2,recap-documents,sha1,The ID used for a document in RECAP
3,recap-documents,page_count,"The number of pages in the document, if known"
4,recap-documents,file_size,"The size of the file in bytes, if known"
5,recap-documents,filepath_local,The path of the file in the local storage area.
6,recap-documents,filepath_ia,The URL of the file in IA
7,recap-documents,ia_upload_failure_count,Number of times the upload to the Internet Archive failed.
8,recap-documents,thumbnail,A thumbnail of the first page of the document
9,recap-documents,thumbnail_status,The status of the thumbnail generation
10,recap-documents,plain_text,"Plain text of the document after extraction using pdftotext, wpd2txt, etc."
11,recap-documents,ocr_status,The status of OCR processing on this item.
12,recap-documents,date_upload,upload_date in RECAP. The date the file was uploaded to RECAP. This information is provided by RECAP.
13,recap-documents,document_number,"If the file is a document, the number is the document_number in RECAP docket."
14,recap-documents,attachment_number,"If the file is an attachment, the number is the attachment number in RECAP docket."
15,recap-documents,pacer_doc_id,The ID of the document in PACER. This information is provided by RECAP.
16,recap-documents,is_available,True if the item is available in RECAP
17,recap-documents,is_free_on_pacer,Is this item freely available as an opinion on PACER?
18,recap-documents,is_sealed,Is this item sealed or otherwise unavailable on PACER?
